lithology,ibeta,phi,alpha,alpha_EC,Vp_model,Vs_model,Sigma_model,best_obj,log_marginal_likelihood,log_marginal_new,posterior_support_volume,mode_count,phi_min,phi_max,alpha_min,alpha_max,alpha_EC_min,alpha_EC_max,posterior_prob,posterior_prob_log
45,1,0.0006585769437872744,0.0032863823564372066,0.0002117461347895076,6.122060635723654,3.4874990837405084,0.004595663062254346,5.023188566071194e-05,-1.6208327802427425,2.9492198397078724,0.000491,2,0.00015189035260625627,0.0015443890919320253,0.0007207781201428757,0.008370957479144727,1.0092298291067473e-05,0.0006167775090874469,0.10639354019200671,0.7907635965427813
43,1,0.00017019919153181336,0.0006503090887624268,1.043042465633875e-05,6.10770573716595,3.4913146269243387,0.00454797384958929,0.0030351891995562836,-2.0866572041336107,0.6728012851474723,0.000169,1,0.00016035013295741818,0.0005307165555264065,0.0005955388057388275,0.0020711717662715277,1.0053520004843605e-05,0.00011888530608797082,0.0667744444140407,0.08117282323863194
49,1,0.007188823666556863,0.020995245086559797,0.003652396212714062,6.121531312700156,3.4878840265451196,0.004590075737646072,1.621998271128342e-05,-2.9440531150502265,0.0610003090484286,5e-06,1,0.0065438445285025066,0.008884960950526937,0.01934807744362218,0.027117564393852333,0.0032390230602748157,0.004698161907669313,0.028330091050880035,0.04402596290270053
48,1,0.009189321101818576,0.034288772884025966,0.004391097608248326,6.108972708350369,3.491651243538043,0.004725310708809792,0.00297170859219108,-2.6491963315461766,-0.038951919339781274,0.000117,2,0.005995919949819442,0.05530714939461576,0.02185196852212538,0.39039768269338454,0.00247731650434057,0.9748048574489174,0.038045442909205855,0.039838241690985716
64,1,0.03687044828673969,0.06408281892926271,0.030436384017740518,6.130760137469192,3.4915848787165276,0.004485348167285163,0.0022836174042140684,-5.283094678313796,-0.3531258995124596,2.4e-05,2,0.03136247860862029,0.05490218966471997,0.05192136317486714,0.10398984243528216,0.023540528134190355,0.9374693023490275,0.0027315875614349816,0.029097530769847734
68,1,0.017831753584738107,0.019291148413453574,0.01077226770898198,6.11958129586059,3.4826280288372806,0.004706192416522552,0.0017418671275932706,-6.2604458132826375,-1.6057572065839467,1e-06,0,0.017831753584738107,0.017831753584738107,0.019291148413453574,0.019291148413453574,0.01077226770898198,0.01077226770898198,0.001027914332630452,0.0083146748698258
50,1,0.009451489512555873,0.022737302255908504,0.004618296105369504,6.128049816716135,3.493002431357256,0.0043981072054771935,0.0028025681521122673,-3.6603954038704942,-2.1991631655557833,3e-06,1,0.00927632283199479,0.00970697538059579,0.021626426389186014,0.022737302255908504,0.0045616309119787335,0.004754440560569861,0.0138402669590968,0.004593379608398666
57,1,0.020098967337618408,0.03561989756993218,0.012603512993672404,6.111120117172124,3.4928684802106664,0.004932665696657415,0.004826118648468845,-4.922804724636733,-3.918167848449235,1e-06,0,0.020098967337618408,0.020098967337618408,0.03561989756993218,0.03561989756993218,0.012603512993672404,0.012603512993672404,0.003916400210277618,0.0008233378669475069
54,1,0.009952224310824744,0.016590462755249072,0.004949201388316106,6.110154247885886,3.4953364526266433,0.00439351772260849,0.005017447951813055,-4.592731372564507,-3.934576765638122,2e-06,1,0.007812884107583162,0.009952224310824744,0.012573388858280682,0.016590462755249072,0.003552196310814042,0.004949201388316106,0.0054479874773197745,0.0008099380231940452
53,1,0.011274421786228535,0.0226761834335979,0.0062587830450769235,6.143188419777527,3.485295147842778,0.004424247176959634,0.008580465964779276,-4.15135656385684,-5.502262995868034,2e-06,1,0.011274421786228535,0.015295588420646159,0.0226761834335979,0.032550059689308714,0.0062587830450769235,0.009210086245943673,0.008470767165226278,0.0001688940339020709
